edge_id,from_node,to_node,num_lanes,speed_limit,priority,vehicle_count,avg_waiting_time,avg_time_loss,traffic_score,traffic_level,is_high_traffic,system_type
-1020253343#0,9409993605,9409993604,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1020253343#1,9409993614,9409993605,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1020253345#0,6363554946,6363554945,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-1020253345#1,683788948,6363554946,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-1020253345#2,12088722263,683788948,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-1020253345#3,12088722265,12088722263,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-1020253345#4,6363554948,12088722265,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-1020253345#5,618530965,6363554948,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-1020253348,9409993607,5499217646,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1020253349,9409993602,6363554946,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1020253351,9409993594,9409993595,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1020253353,9409993589,9409993594,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1020253354#0,9409993598,9409993594,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1020253354#1,9409993577,9409993598,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1020253354#2,9409993607,9409993577,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1020253354#3,683788949,9409993607,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1020253356,683788949,9409993614,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1020253357,6363554946,9409993605,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1020264829,618530962,11762736414,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1020264830,4692184302,4692184301,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1020264831#0,5627560734,5627560736,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-1020264831#1,12088727271,5627560734,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-1020264831#2,5290309676,12088727271,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-1020264831#3,696522406,5290309676,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-1020264831#4,5290309684,696522406,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-1020264831#5,683788969,5290309684,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-1020852663,cluster_3832039360_9415532345,9415532344,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1025799454,5293061995,9457787657,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1025803705#0,9457821559,9457821551,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1025803705#1,9457821561,9457821559,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1025803705#2,9457821558,9457821561,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1025803708,9457821564,9457821563,1,5.56,1,0,0.0,0.0,0.0,high,1,fixed
-1026278666,6658942953,cluster_4865865969_672771681,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
-1026278667,9462099860,6658942953,1,8.33,3,0,0.0,0.0,0.0,high,1,fixed
