vehicle_id,depart_time,arrival_time,duration,waiting_time,route_length,time_loss
0,0.0,68.0,68.0,0.0,863.15,7.87
22,33.0,125.0,92.0,0.0,681.2,10.53
28,42.0,129.0,87.0,0.0,719.84,9.68
40,60.0,146.0,86.0,0.0,724.48,10.72
23,35.0,181.0,146.0,45.0,674.91,67.45
67,101.0,201.0,100.0,0.0,680.84,13.44
18,27.0,206.0,179.0,58.0,1378.07,82.27
96,144.0,207.0,63.0,0.0,597.48,8.69
113,170.0,241.0,71.0,14.0,522.3,31.28
55,83.0,243.0,160.0,25.0,1054.55,46.14
133,200.0,252.0,52.0,0.0,366.72,7.77
94,141.0,253.0,112.0,0.0,931.88,11.53
58,87.0,255.0,168.0,2.0,1799.25,22.1
30,45.0,257.0,212.0,59.0,1889.17,88.5
108,162.0,260.0,98.0,0.0,1028.79,15.5
120,180.0,265.0,85.0,0.0,898.3,18.22
57,86.0,267.0,181.0,10.0,1917.36,39.22
50,75.0,272.0,197.0,89.0,1041.79,113.31
33,50.0,281.0,231.0,28.0,1990.72,65.18
48,72.0,281.0,209.0,48.0,1809.09,72.35
118,177.0,285.0,108.0,30.0,916.69,50.61
126,189.0,285.0,96.0,0.0,1064.98,17.17
3,5.0,290.0,285.0,77.0,2484.02,134.67
154,231.0,293.0,62.0,0.0,721.6,10.13
128,192.0,296.0,104.0,0.0,1050.82,16.66
10,15.0,297.0,282.0,73.0,2410.81,111.53
77,116.0,304.0,188.0,0.0,1854.3,16.31
2,3.0,308.0,305.0,84.0,2705.54,122.55
34,51.0,309.0,258.0,0.0,2444.64,30.86
88,132.0,314.0,182.0,35.0,1215.61,73.0
14,21.0,321.0,300.0,139.0,1772.84,173.46
49,74.0,324.0,250.0,73.0,2025.02,101.49
29,44.0,327.0,283.0,158.0,1193.14,194.99
119,179.0,329.0,150.0,0.0,1428.03,21.47
91,137.0,337.0,200.0,42.0,1448.07,68.59
66,99.0,340.0,241.0,98.0,1432.79,130.84
72,108.0,340.0,232.0,57.0,1837.95,88.56
85,128.0,364.0,236.0,98.0,1634.25,129.89
98,147.0,364.0,217.0,43.0,1657.14,102.72
69,104.0,366.0,262.0,0.0,2677.61,25.14
115,173.0,369.0,196.0,40.0,1468.53,67.42
106,159.0,371.0,212.0,24.0,2283.86,69.38
114,171.0,374.0,203.0,37.0,2090.0,75.31
131,197.0,375.0,178.0,0.0,1890.75,19.87
83,125.0,377.0,252.0,118.0,1560.49,148.99
210,315.0,379.0,64.0,0.0,526.73,14.78
47,71.0,380.0,309.0,9.0,2473.34,55.51
41,62.0,381.0,319.0,42.0,2607.46,91.19
176,264.0,382.0,118.0,4.0,753.03,25.52
52,78.0,383.0,305.0,33.0,3399.94,97.0
76,114.0,383.0,269.0,90.0,1920.07,118.44
138,207.0,384.0,177.0,0.0,1697.73,14.86
116,174.0,388.0,214.0,0.0,1660.12,30.02
37,56.0,389.0,333.0,0.0,3492.56,73.26
68,102.0,389.0,287.0,56.0,2631.91,95.71
139,212.0,391.0,179.0,2.0,1670.3,30.07
181,272.0,392.0,120.0,23.0,1153.75,41.45
149,224.0,393.0,169.0,0.0,1956.38,19.99
80,120.0,394.0,274.0,55.0,2921.71,95.4
20,30.0,397.0,367.0,0.0,2921.37,42.73
