traffic_light_id,phase_index,duration,state,green_count,yellow_count,red_count,total_cycle_time
10555850724,0,81.0,GGG,3,0,0,90.0
10555850724,1,4.0,yyy,0,3,0,90.0
10555850724,2,5.0,rrr,0,0,3,90.0
10555850725,0,81.0,GG,2,0,0,90.0
10555850725,1,4.0,yy,0,2,0,90.0
10555850725,2,5.0,rr,0,0,2,90.0
10660932949,0,41.0,GGgrrrrGgg,3,0,4,90.0
10660932949,1,4.0,yyyrrrryyy,0,6,4,90.0
10660932949,2,41.0,rrrGGGGrrr,4,0,6,90.0
10660932949,3,4.0,rrryyyyrrr,0,4,6,90.0
10660932971,0,81.0,GG,2,0,0,90.0
10660932971,1,4.0,yy,0,2,0,90.0
10660932971,2,5.0,rr,0,0,2,90.0
10660932981,0,41.0,GGgrrrrGgg,3,0,4,90.0
10660932981,1,4.0,yyyrrrryyy,0,6,4,90.0
10660932981,2,41.0,rrrGGGGrrr,4,0,6,90.0
10660932981,3,4.0,rrryyyyrrr,0,4,6,90.0
10660932982,0,41.0,rrrrGggGGg,3,0,4,90.0
10660932982,1,4.0,rrrryyyyyy,0,6,4,90.0
10660932982,2,41.0,GGGGrrrrrr,4,0,6,90.0
10660932982,3,4.0,yyyyrrrrrr,0,4,6,90.0
10660932992,0,41.0,rrrrGggGGg,3,0,4,90.0
10660932992,1,4.0,rrrryyyyyy,0,6,4,90.0
10660932992,2,41.0,GGGGrrrrrr,4,0,6,90.0
10660932992,3,4.0,yyyyrrrrrr,0,4,6,90.0
127658071,0,42.0,GGGggrrrrGGggrrrr,5,0,8,90.0
127658071,1,3.0,yyyyyrrrryyyyrrrr,0,9,8,90.0
127658071,2,42.0,rrrrrGGggrrrrGGgg,4,0,9,90.0
127658071,3,3.0,rrrrryyyyrrrryyyy,0,8,9,90.0
127658086,0,42.0,rrrrGGggrrrrGGgg,4,0,8,90.0
127658086,1,3.0,rrrryyyyrrrryyyy,0,8,8,90.0
127658086,2,42.0,GGggrrrrGGggrrrr,4,0,8,90.0
127658086,3,3.0,yyyyrrrryyyyrrrr,0,8,8,90.0
127658294,0,41.0,GGggrrrrGGggrrrr,4,0,8,90.0
127658294,1,4.0,yyyyrrrryyyyrrrr,0,8,8,90.0
127658294,2,41.0,rrrrGGggrrrrGGgg,4,0,8,90.0
127658294,3,4.0,rrrryyyyrrrryyyy,0,8,8,90.0
1307347931,0,81.0,GGG,3,0,0,90.0
1307347931,1,4.0,yyy,0,3,0,90.0
1307347931,2,5.0,rrr,0,0,3,90.0
1307347933,0,41.0,GGGGGrrr,5,0,3,90.0
1307347933,1,4.0,yyyyyrrr,0,5,3,90.0
1307347933,2,41.0,rrrrrGGG,3,0,5,90.0
1307347933,3,4.0,rrrrryyy,0,3,5,90.0
