vehicle_id,depart_time,arrival_time,duration,waiting_time,route_length,time_loss
0,0,68,68,0,863.15,7.87
1,2,439,437,238,2037.27,270.75
2,3,308,305,84,2705.54,122.55
3,5,290,285,77,2484.02,134.67
4,6,996,990,652,3612.18,747.86
5,8,1843,1835,1520,2942.22,1590.13
7,11,560,549,31,4515.32,86.28
8,12,558,546,144,4583.47,224.41
9,14,461,447,101,4300.25,165.6
10,15,297,282,73,2410.81,111.53
12,18,637,619,167,5116.07,241.18
13,20,468,448,97,4546.07,174.05
14,21,321,300,139,1772.84,173.46
15,23,742,719,489,2733.88,537.18
16,24,879,855,335,4672.44,441.6
18,27,206,179,58,1378.07,82.27
19,29,444,415,187,2818.55,243.92
20,30,397,367,0,2921.37,42.73
21,32,556,524,192,4023.44,270.9
22,33,125,92,0,681.2,10.53
23,35,181,146,45,674.91,67.45
24,36,491,455,25,3561.6,69.24
25,38,798,760,249,4451.22,346.71
26,39,666,627,90,4640.96,157.92
27,41,406,365,196,1826.24,233.43
28,42,129,87,0,719.84,9.68
29,44,327,283,158,1193.14,194.99
30,45,257,212,59,1889.17,88.5
31,47,571,524,403,1167.15,447.82
32,48,641,593,144,4184.66,226.49
33,50,281,231,28,1990.72,65.18
34,51,309,258,0,2444.64,30.86
35,53,799,746,283,6044.59,374.38
36,54,467,413,52,3374.99,110.79
37,56,389,333,0,3492.56,73.26
38,59,496,437,128,2627.11,188.04
39,59,541,482,221,2791.01,292.87
40,60,146,86,0,724.48,10.72
41,62,381,319,42,2607.46,91.19
42,63,408,345,90,2856.89,126.85
43,65,586,521,151,4231.57,238.64
44,66,469,403,164,3111.92,220.55
45,68,424,356,133,2330.2,185.75
46,69,489,420,173,2114.75,239.88
47,71,380,309,9,2473.34,55.51
48,72,281,209,48,1809.09,72.35
49,74,324,250,73,2025.02,101.49
50,75,272,197,89,1041.79,113.31
51,77,571,494,218,2759.75,288.77
52,78,383,305,33,3399.94,97
53,80,1465,1385,1022,4621.73,1144.01
54,81,605,524,121,4990.39,208.71
55,83,243,160,25,1054.55,46.14
56,84,479,395,36,3600.76,77.26
57,86,267,181,10,1917.36,39.22
58,87,255,168,2,1799.25,22.1
59,89,606,517,205,3479.86,264.19
60,90,404,314,58,2626.66,109.25
61,92,441,349,64,3020.11,111.18
