vehicle_id,depart_time,arrival_time,duration,waiting_time,route_length,time_loss
0,0.0,68.0,68.0,0.0,863.15,7.87
22,33.0,125.0,92.0,0.0,681.2,10.71
28,42.0,128.0,86.0,0.0,719.84,8.49
40,60.0,145.0,85.0,0.0,724.48,9.53
67,101.0,202.0,101.0,0.0,680.84,14.58
96,144.0,206.0,62.0,0.0,597.48,7.3
55,83.0,245.0,162.0,26.0,1054.55,46.69
118,177.0,249.0,72.0,0.0,916.69,14.71
133,200.0,253.0,53.0,0.0,366.72,8.97
94,141.0,254.0,113.0,0.0,931.88,12.5
113,170.0,265.0,95.0,40.0,522.3,56.21
120,180.0,277.0,97.0,9.0,898.3,30.01
33,50.0,278.0,228.0,24.0,1990.72,61.03
108,162.0,279.0,117.0,12.0,1028.79,34.92
57,86.0,290.0,204.0,33.0,1917.36,62.57
154,231.0,292.0,61.0,0.0,721.6,8.88
23,35.0,294.0,259.0,160.0,674.91,180.81
77,116.0,303.0,187.0,0.0,1854.3,16.5
126,189.0,306.0,117.0,15.0,1064.98,37.68
34,51.0,308.0,257.0,0.0,2444.64,30.11
42,63.0,336.0,273.0,23.0,2856.89,55.22
128,192.0,338.0,146.0,37.0,1046.35,58.59
97,146.0,365.0,219.0,72.0,1763.16,100.34
69,104.0,366.0,262.0,0.0,2677.61,25.13
131,197.0,375.0,178.0,0.0,1890.75,19.67
176,264.0,377.0,113.0,0.0,753.03,20.25
210,315.0,377.0,62.0,0.0,526.73,12.81
10,15.0,380.0,365.0,147.0,2410.81,194.62
139,211.0,381.0,170.0,0.0,1670.3,22.21
138,207.0,386.0,179.0,0.0,1697.73,16.3
119,179.0,390.0,211.0,53.0,1428.03,82.17
116,174.0,391.0,217.0,0.0,1660.12,33.12
149,224.0,392.0,168.0,0.0,1956.38,18.51
20,30.0,396.0,366.0,0.0,2921.37,41.93
50,75.0,400.0,325.0,215.0,1040.95,241.75
79,119.0,414.0,295.0,0.0,2003.83,40.58
159,239.0,425.0,186.0,2.0,1842.83,27.05
66,99.0,430.0,331.0,190.0,1432.79,220.54
91,137.0,431.0,294.0,137.0,1448.07,162.13
170,255.0,436.0,181.0,0.0,1876.8,22.68
56,84.0,439.0,355.0,2.0,3600.76,37.59
181,272.0,442.0,170.0,65.0,1153.75,90.86
186,279.0,444.0,165.0,0.0,1297.93,22.22
115,173.0,456.0,283.0,123.0,1468.53,155.12
129,194.0,461.0,267.0,0.0,2380.4,32.49
47,71.0,474.0,403.0,97.0,2473.34,149.3
226,339.0,474.0,135.0,40.0,1064.75,64.29
3,5.0,478.0,473.0,257.0,2484.02,322.59
37,56.0,483.0,427.0,78.0,3492.56,165.74
61,92.0,500.0,408.0,117.0,3020.11,170.52
88,132.0,500.0,368.0,203.0,1215.61,257.62
14,21.0,510.0,489.0,315.0,1772.84,363.02
167,251.0,510.0,259.0,130.0,1431.87,164.65
301,452.0,511.0,59.0,1.0,440.15,12.4
58,87.0,516.0,429.0,262.0,1799.25,282.64
293,440.0,516.0,76.0,0.0,901.94,11.81
18,27.0,518.0,491.0,350.0,1378.07,394.3
7,11.0,520.0,509.0,0.0,4515.32,46.85
232,348.0,520.0,172.0,0.0,1452.23,19.52
85,128.0,527.0,399.0,266.0,1634.25,292.91
72,108.0,528.0,420.0,235.0,1838.79,276.88
106,159.0,534.0,375.0,190.0,2283.86,231.75
111,167.0,535.0,368.0,131.0,2170.42,164.76
48,72.0,539.0,467.0,301.0,1809.09,330.42
168,252.0,543.0,291.0,109.0,1550.99,151.24
163,245.0,545.0,300.0,80.0,2420.79,137.73
30,45.0,552.0,507.0,321.0,1889.17,383.71
114,171.0,554.0,383.0,210.0,2090.0,254.74
65,98.0,569.0,471.0,212.0,2627.63,251.55
2,3.0,571.0,568.0,341.0,2705.54,384.5
99,149.0,572.0,423.0,103.0,3597.49,163.18
135,203.0,577.0,374.0,0.0,3972.09,39.32
243,365.0,577.0,212.0,97.0,1131.73,121.57
363,545.0,582.0,37.0,0.0,349.18,4.71
219,329.0,583.0,254.0,0.0,2166.93,28.05
123,185.0,586.0,401.0,116.0,3473.32,157.14
332,499.0,586.0,87.0,14.0,652.06,33.17
290,435.0,587.0,152.0,0.0,1490.88,15.32
261,392.0,588.0,196.0,1.0,1811.68,30.19
151,227.0,609.0,382.0,187.0,1818.27,227.22
296,444.0,610.0,166.0,62.0,1325.86,92.4
354,531.0,610.0,79.0,0.0,553.07,10.96
64,96.0,612.0,516.0,100.0,3750.54,151.63
153,230.0,613.0,383.0,146.0,2181.53,179.17
281,422.0,620.0,198.0,87.0,1345.48,117.67
68,102.0,623.0,521.0,267.0,2632.48,330.58
375,563.0,623.0,60.0,0.0,191.93,11.22
161,242.0,624.0,382.0,1.0,3963.15,67.22
98,147.0,629.0,482.0,301.0,1657.14,368.17
230,345.0,630.0,285.0,204.0,599.69,240.78
95,143.0,632.0,489.0,276.0,2119.53,337.82
93,140.0,633.0,493.0,156.0,3176.28,249.48
368,552.0,633.0,81.0,28.0,426.76,38.71
206,309.0,635.0,326.0,153.0,2064.04,188.79
335,503.0,635.0,132.0,2.0,959.93,18.48
237,356.0,643.0,287.0,0.0,1560.03,46.18
110,165.0,645.0,480.0,148.0,3982.75,214.4
406,609.0,645.0,36.0,0.0,241.08,4.88
52,78.0,649.0,571.0,280.0,3399.94,362.83
315,473.0,649.0,176.0,15.0,1876.0,48.02
76,114.0,650.0,536.0,337.0,1920.07,385.35
297,446.0,653.0,207.0,20.0,1773.61,39.32
202,303.0,654.0,351.0,202.0,1214.61,245.78
223,335.0,655.0,320.0,59.0,2097.31,142.26
218,327.0,658.0,331.0,22.0,3105.36,56.26
24,36.0,663.0,627.0,200.0,3561.6,241.53
386,579.0,664.0,85.0,0.0,826.78,14.31
361,542.0,674.0,132.0,0.0,1122.88,14.94
60,90.0,676.0,586.0,334.0,2617.9,384.02
319,479.0,679.0,200.0,0.0,1711.63,23.94
75,113.0,681.0,568.0,350.0,1839.98,400.28
136,204.0,686.0,482.0,281.0,2281.1,344.88
233,350.0,686.0,336.0,112.0,2267.46,183.66
41,62.0,688.0,626.0,354.0,2607.46,399.25
300,450.0,698.0,248.0,27.0,2823.28,65.04
74,111.0,700.0,589.0,248.0,3654.07,328.35
125,188.0,700.0,512.0,187.0,3342.29,310.19
162,243.0,705.0,462.0,228.0,2311.45,289.2
345,518.0,705.0,187.0,53.0,1040.48,85.41
213,320.0,708.0,388.0,267.0,1242.6,292.91
271,407.0,711.0,304.0,41.0,2213.43,75.1
164,246.0,712.0,466.0,98.0,3485.05,193.43
234,351.0,727.0,376.0,135.0,1762.16,181.67
280,420.0,729.0,309.0,112.0,2066.31,151.54
288,432.0,732.0,300.0,1.0,3221.82,49.68
289,434.0,738.0,304.0,15.0,2858.28,77.88
27,41.0,741.0,700.0,507.0,1826.24,567.88
269,404.0,745.0,341.0,166.0,1604.14,197.81
13,20.0,750.0,730.0,367.0,4550.41,455.62
192,288.0,750.0,462.0,233.0,2499.32,278.2
191,287.0,751.0,464.0,289.0,1398.62,325.27
101,152.0,752.0,600.0,238.0,3224.19,317.14
187,281.0,757.0,476.0,63.0,3556.27,152.04
44,66.0,758.0,692.0,435.0,3111.92,509.63
282,423.0,759.0,336.0,203.0,1291.24,235.3
436,654.0,759.0,105.0,0.0,961.13,11.51
330,495.0,760.0,265.0,22.0,2258.63,51.82
140,210.0,762.0,552.0,192.0,2885.99,302.11
424,636.0,762.0,126.0,0.0,1102.39,14.18
366,549.0,763.0,214.0,49.0,1624.94,95.52
277,416.0,767.0,351.0,87.0,2789.11,133.85
408,612.0,770.0,158.0,0.0,1592.97,14.69
36,54.0,782.0,728.0,353.0,3374.99,425.84
412,618.0,784.0,166.0,0.0,1583.39,15.43
318,477.0,788.0,311.0,185.0,1000.0,226.41
339,509.0,797.0,288.0,121.0,2289.18,153.02
15,23.0,798.0,775.0,533.0,2734.05,593.43
355,535.0,801.0,266.0,171.0,736.75,214.01
259,389.0,802.0,413.0,229.0,1261.42,276.06
242,363.0,803.0,440.0,128.0,2858.13,188.95
362,543.0,809.0,266.0,187.0,810.99,220.83
174,261.0,811.0,550.0,284.0,2825.03,348.47
492,738.0,811.0,73.0,0.0,758.02,12.23
504,756.0,813.0,57.0,0.0,604.95,7.73
250,375.0,815.0,440.0,115.0,3103.95,157.06
117,176.0,817.0,641.0,309.0,3849.3,393.41
429,644.0,820.0,176.0,2.0,1839.75,51.13
29,44.0,821.0,777.0,638.0,1193.14,689.21
349,524.0,823.0,299.0,126.0,1603.67,158.09
384,576.0,831.0,255.0,19.0,2290.16,48.86
175,263.0,837.0,574.0,364.0,1724.18,418.64
465,698.0,840.0,142.0,2.0,1478.59,21.98
346,519.0,841.0,322.0,82.0,2786.48,136.0
419,629.0,841.0,212.0,29.0,1283.9,66.34
278,417.0,844.0,427.0,196.0,1978.1,258.72
541,812.0,844.0,32.0,0.0,95.04,6.98
536,804.0,849.0,45.0,0.0,429.74,10.6
263,395.0,852.0,457.0,44.0,3353.9,112.55
559,839.0,869.0,30.0,0.0,229.97,6.21
244,366.0,870.0,504.0,299.0,1920.58,353.96
540,810.0,870.0,60.0,0.0,803.79,9.62
83,125.0,875.0,750.0,608.0,1551.34,649.05
405,608.0,875.0,267.0,125.0,2090.49,155.63
304,456.0,876.0,420.0,204.0,1297.62,265.23
529,794.0,877.0,83.0,2.0,628.57,22.03
524,786.0,885.0,99.0,0.0,783.18,20.85
26,39.0,887.0,848.0,285.0,4640.96,378.91
241,362.0,887.0,525.0,253.0,2153.07,336.5
525,788.0,887.0,99.0,0.0,335.18,20.39
287,431.0,889.0,458.0,231.0,2123.74,272.98
216,324.0,890.0,566.0,411.0,1525.36,456.3
209,314.0,892.0,578.0,54.0,5259.88,118.43
422,633.0,893.0,260.0,71.0,1943.5,102.08
45,68.0,897.0,829.0,588.0,2330.2,658.49
456,684.0,908.0,224.0,93.0,1286.77,131.46
484,726.0,914.0,188.0,0.0,1496.49,22.41
371,557.0,920.0,363.0,207.0,2267.48,246.68
89,134.0,924.0,790.0,477.0,3148.91,559.99
143,215.0,924.0,709.0,409.0,3035.77,539.21
520,780.0,928.0,148.0,2.0,1088.84,23.25
395,593.0,929.0,336.0,142.0,2690.09,216.83
396,594.0,930.0,336.0,33.0,2811.05,69.94
431,647.0,931.0,284.0,171.0,784.94,200.62
63,95.0,933.0,838.0,496.0,4673.61,556.95
336,504.0,939.0,435.0,324.0,1339.66,352.17
357,536.0,939.0,403.0,165.0,2178.19,219.96
9,14.0,940.0,926.0,537.0,4299.41,645.18
517,776.0,942.0,166.0,0.0,1193.35,25.74
217,326.0,946.0,620.0,388.0,3389.52,446.6
359,539.0,947.0,408.0,0.0,3164.69,37.44
494,741.0,948.0,207.0,0.0,2092.24,33.73
291,437.0,950.0,513.0,296.0,2073.98,330.75
397,596.0,950.0,354.0,239.0,1248.28,269.29
155,233.0,951.0,718.0,403.0,3313.48,492.06
348,522.0,955.0,433.0,39.0,4364.0,118.87
411,617.0,956.0,339.0,133.0,2080.9,195.87
147,221.0,962.0,741.0,477.0,2532.34,539.13
130,195.0,964.0,769.0,532.0,2191.49,607.18
369,554.0,966.0,412.0,271.0,1569.03,312.95
171,257.0,969.0,712.0,510.0,1862.76,568.56
562,843.0,976.0,133.0,0.0,1314.25,14.79
204,306.0,978.0,672.0,417.0,3047.92,488.69
480,720.0,978.0,258.0,83.0,2500.77,110.56
311,467.0,980.0,513.0,297.0,2501.14,346.09
507,761.0,981.0,220.0,0.0,1575.95,24.16
629,944.0,987.0,43.0,0.0,267.57,8.06
132,198.0,989.0,791.0,526.0,2793.4,567.5
194,291.0,989.0,698.0,480.0,2192.89,548.04
610,915.0,990.0,75.0,0.0,545.13,12.53
283,425.0,992.0,567.0,113.0,4462.82,176.86
603,905.0,996.0,91.0,0.0,878.13,8.58
80,120.0,998.0,878.0,620.0,2921.71,700.7
49,74.0,1000.0,926.0,756.0,1969.01,782.72
179,269.0,1000.0,731.0,403.0,3130.18,481.83
100,150.0,1008.0,858.0,546.0,4524.91,618.92
212,318.0,1008.0,690.0,462.0,2150.07,521.49
235,353.0,1008.0,655.0,289.0,3706.86,403.71
127,191.0,1009.0,818.0,555.0,2654.26,595.67
152,228.0,1011.0,783.0,469.0,3466.89,546.69
21,32.0,1013.0,981.0,634.0,4004.94,727.9
574,861.0,1013.0,152.0,0.0,1219.24,16.89
240,360.0,1015.0,655.0,305.0,3041.33,379.28
124,186.0,1018.0,832.0,447.0,4001.26,574.87
523,785.0,1018.0,233.0,0.0,2442.86,25.88
539,809.0,1019.0,210.0,10.0,1813.96,47.36
177,266.0,1021.0,755.0,482.0,2905.14,572.19
195,293.0,1023.0,730.0,396.0,2245.72,462.18
203,305.0,1023.0,718.0,451.0,3013.03,525.64
302,453.0,1023.0,570.0,276.0,2958.95,350.43
70,105.0,1025.0,920.0,515.0,4600.48,609.74
183,275.0,1025.0,750.0,449.0,2694.25,552.99
338,507.0,1025.0,518.0,196.0,3175.48,249.95
8,12.0,1027.0,1015.0,578.0,4583.47,692.63
253,380.0,1027.0,647.0,436.0,2137.92,500.0
578,867.0,1027.0,160.0,20.0,1146.24,49.89
81,122.0,1028.0,906.0,557.0,3875.11,636.69
256,384.0,1030.0,646.0,258.0,4033.37,344.7
303,455.0,1030.0,575.0,341.0,2198.15,408.64
333,500.0,1030.0,530.0,0.0,4601.8,53.08
189,284.0,1035.0,751.0,380.0,4208.6,484.05
380,570.0,1036.0,466.0,0.0,3254.69,52.41
623,935.0,1042.0,107.0,0.0,1199.15,15.53
246,369.0,1044.0,675.0,402.0,2756.53,460.04
158,237.0,1045.0,808.0,475.0,2733.87,565.51
184,276.0,1047.0,771.0,343.0,4191.76,409.45
377,566.0,1053.0,487.0,202.0,3015.04,302.79
392,588.0,1057.0,469.0,289.0,1871.43,330.97
145,218.0,1058.0,840.0,546.0,3339.45,628.22
521,782.0,1059.0,277.0,5.0,2216.49,57.39
87,131.0,1060.0,929.0,797.0,1362.98,838.16
112,168.0,1060.0,892.0,592.0,2849.99,675.46
613,920.0,1062.0,142.0,0.0,1426.43,17.17
266,399.0,1064.0,665.0,306.0,3678.81,382.27
274,411.0,1065.0,654.0,373.0,2087.05,432.88
383,575.0,1066.0,491.0,109.0,3395.08,194.87
62,93.0,1069.0,976.0,674.0,3483.6,752.91
86,129.0,1071.0,942.0,742.0,2348.41,784.06
1,2.0,1073.0,1071.0,869.0,2011.81,908.19
531,797.0,1073.0,276.0,25.0,2597.91,54.9
413,620.0,1077.0,457.0,233.0,2238.55,272.96
238,357.0,1079.0,722.0,390.0,3119.91,501.06
683,1025.0,1079.0,54.0,0.0,367.9,7.22
449,674.0,1082.0,408.0,57.0,3070.17,176.47
447,671.0,1089.0,418.0,239.0,1956.52,318.35
265,398.0,1093.0,695.0,484.0,1873.84,565.17
403,605.0,1099.0,494.0,331.0,1755.87,364.46
439,659.0,1102.0,443.0,171.0,2298.28,217.71
73,110.0,1103.0,993.0,672.0,3067.83,745.67
469,704.0,1103.0,399.0,99.0,2430.77,143.23
272,408.0,1105.0,697.0,430.0,2599.62,522.3
225,338.0,1106.0,768.0,585.0,1389.46,633.1
160,240.0,1108.0,868.0,462.0,2989.35,532.51
387,581.0,1108.0,527.0,288.0,2744.04,340.84
251,377.0,1109.0,732.0,457.0,2563.23,547.55
502,753.0,1110.0,357.0,164.0,2757.38,215.89
636,954.0,1110.0,156.0,0.0,1330.31,26.85
285,428.0,1111.0,683.0,465.0,2026.79,539.45
19,29.0,1115.0,1086.0,829.0,2818.55,914.86
292,438.0,1119.0,681.0,381.0,2790.62,443.46
344,516.0,1119.0,603.0,397.0,2465.76,442.71
593,890.0,1119.0,229.0,0.0,1974.16,59.3
59,89.0,1120.0,1031.0,682.0,3479.86,777.83
254,381.0,1125.0,744.0,438.0,3022.81,507.77
258,387.0,1125.0,738.0,455.0,2805.83,537.06
144,216.0,1126.0,910.0,600.0,2586.85,651.51
616,924.0,1128.0,204.0,0.0,1865.17,35.41
121,182.0,1129.0,947.0,485.0,4577.66,635.53
454,681.0,1129.0,448.0,164.0,2366.04,224.11
478,717.0,1129.0,412.0,119.0,2331.39,173.62
464,696.0,1130.0,434.0,181.0,2893.47,243.07
273,410.0,1131.0,721.0,512.0,1882.51,562.22
708,1062.0,1134.0,72.0,0.0,1006.06,12.3
446,669.0,1141.0,472.0,0.0,4459.97,46.14
590,885.0,1142.0,257.0,68.0,2205.84,107.19
647,971.0,1142.0,171.0,100.0,880.35,114.43
489,734.0,1148.0,414.0,209.0,2305.0,249.45
32,48.0,1153.0,1105.0,616.0,4184.66,737.9
331,497.0,1154.0,657.0,361.0,2928.31,411.14
173,260.0,1157.0,897.0,621.0,3516.28,712.84
180,270.0,1158.0,888.0,567.0,3002.59,641.84
609,914.0,1158.0,244.0,0.0,2488.08,25.92
611,917.0,1158.0,241.0,130.0,1072.35,165.44
731,1097.0,1158.0,61.0,0.0,697.46,9.22
388,582.0,1166.0,584.0,389.0,2203.4,456.73
421,632.0,1168.0,536.0,331.0,2439.72,382.3
146,219.0,1169.0,950.0,639.0,3038.46,698.98
527,791.0,1169.0,378.0,34.0,3123.1,76.48
321,482.0,1170.0,688.0,382.0,2909.75,435.56
221,332.0,1177.0,845.0,629.0,1959.57,717.92
735,1103.0,1179.0,76.0,0.0,300.81,20.33
351,527.0,1183.0,656.0,432.0,1454.11,492.91
137,206.0,1186.0,980.0,513.0,4351.35,599.25
425,638.0,1186.0,548.0,209.0,2745.19,280.55
728,1092.0,1186.0,94.0,0.0,1120.46,14.13
580,870.0,1190.0,320.0,154.0,1510.54,199.44
43,65.0,1192.0,1127.0,737.0,4231.57,845.4
631,947.0,1192.0,245.0,161.0,823.8,191.34
426,639.0,1195.0,556.0,229.0,3249.83,328.29
582,873.0,1197.0,324.0,10.0,3151.51,47.49
382,573.0,1200.0,627.0,290.0,3656.91,341.35
537,806.0,1201.0,395.0,119.0,1814.71,157.75
353,530.0,1202.0,672.0,215.0,4411.75,349.92
82,123.0,1206.0,1083.0,692.0,4722.07,775.13
222,333.0,1208.0,875.0,534.0,3017.73,611.49
417,626.0,1208.0,582.0,318.0,2881.19,436.93
637,956.0,1211.0,255.0,90.0,1288.41,140.93
211,317.0,1213.0,896.0,526.0,4012.31,610.95
659,989.0,1213.0,224.0,0.0,1588.9,21.75
276,414.0,1214.0,800.0,354.0,3513.09,465.1
703,1055.0,1214.0,159.0,0.0,1402.39,19.51
704,1056.0,1216.0,160.0,6.0,1321.68,26.52
543,815.0,1217.0,402.0,0.0,2982.69,48.46
325,488.0,1219.0,731.0,337.0,3342.14,433.03
231,347.0,1221.0,874.0,485.0,4007.15,598.97
488,732.0,1223.0,491.0,219.0,2910.51,300.99
679,1019.0,1229.0,210.0,60.0,1469.76,84.96
753,1130.0,1229.0,99.0,5.0,842.75,34.14
441,662.0,1232.0,570.0,289.0,2923.61,342.08
553,830.0,1232.0,402.0,245.0,1227.71,287.93
444,666.0,1233.0,567.0,159.0,2926.16,259.92
418,627.0,1234.0,607.0,322.0,2810.51,389.1
717,1076.0,1234.0,158.0,49.0,960.44,77.13
573,860.0,1238.0,378.0,96.0,3222.42,182.49
506,759.0,1245.0,486.0,244.0,2454.59,297.96
103,155.0,1246.0,1091.0,764.0,2841.87,838.36
239,359.0,1248.0,889.0,513.0,4490.94,666.8
46,69.0,1254.0,1185.0,943.0,2100.76,1005.88
666,999.0,1254.0,255.0,10.0,2436.33,42.36
227,341.0,1255.0,914.0,675.0,2710.89,731.97
645,968.0,1257.0,289.0,0.0,1349.0,49.68
626,939.0,1264.0,325.0,39.0,2965.45,70.56
12,18.0,1271.0,1253.0,763.0,5116.07,875.12
512,768.0,1279.0,511.0,309.0,1783.55,372.87
38,59.0,1283.0,1224.0,882.0,2627.11,974.2
707,1061.0,1286.0,225.0,106.0,983.14,149.64
643,965.0,1289.0,324.0,106.0,2478.39,142.95
700,1050.0,1291.0,241.0,107.0,943.61,132.78
499,749.0,1294.0,545.0,190.0,3870.27,294.23
774,1161.0,1294.0,133.0,0.0,969.96,13.8
448,672.0,1295.0,623.0,98.0,4167.67,166.44
670,1005.0,1296.0,291.0,204.0,801.35,238.34
516,774.0,1297.0,523.0,195.0,3356.73,243.57
275,413.0,1298.0,885.0,479.0,4321.2,587.16
773,1160.0,1298.0,138.0,0.0,1273.82,24.04
102,153.0,1300.0,1147.0,822.0,3295.98,948.05
719,1079.0,1300.0,221.0,101.0,1136.67,144.77
547,821.0,1303.0,482.0,336.0,1587.42,385.93
460,690.0,1307.0,617.0,346.0,2490.76,443.54
654,981.0,1307.0,326.0,86.0,3117.14,143.04
415,623.0,1312.0,689.0,338.0,4165.75,428.0
648,972.0,1318.0,346.0,100.0,1928.18,164.89
705,1058.0,1319.0,261.0,138.0,1286.69,170.4
481,722.0,1320.0,598.0,269.0,3298.1,320.5
409,614.0,1322.0,708.0,500.0,2200.97,556.78
316,474.0,1323.0,849.0,603.0,3002.95,667.76
756,1134.0,1324.0,190.0,6.0,1897.33,22.66
595,893.0,1326.0,433.0,361.0,623.72,398.83
328,492.0,1330.0,838.0,516.0,4526.37,601.44
534,801.0,1330.0,529.0,314.0,2022.6,363.07
78,117.0,1333.0,1216.0,878.0,4013.03,952.96
51,77.0,1338.0,1261.0,947.0,2759.75,1056.09
845,1268.0,1342.0,74.0,0.0,828.23,14.81
455,683.0,1345.0,662.0,434.0,1875.95,488.55
462,693.0,1345.0,652.0,334.0,3876.39,412.14
711,1067.0,1346.0,279.0,140.0,1634.53,178.96
459,689.0,1353.0,664.0,246.0,4105.24,334.6
548,822.0,1353.0,531.0,321.0,1997.86,375.34
732,1098.0,1355.0,257.0,0.0,2474.91,24.46
224,336.0,1364.0,1028.0,686.0,3394.9,794.31
414,621.0,1364.0,743.0,396.0,3025.73,510.71
600,900.0,1364.0,464.0,207.0,2727.29,288.88
783,1175.0,1366.0,191.0,0.0,1718.95,16.68
432,648.0,1369.0,721.0,363.0,4289.83,453.91
690,1035.0,1369.0,334.0,70.0,2474.42,120.36
157,236.0,1370.0,1134.0,596.0,5699.78,727.34
741,1112.0,1371.0,259.0,64.0,2561.22,107.71
761,1142.0,1371.0,229.0,0.0,2284.64,23.03
614,921.0,1373.0,452.0,310.0,1163.77,346.06
400,600.0,1377.0,777.0,421.0,4187.23,526.01
687,1031.0,1377.0,346.0,98.0,2239.69,193.14
326,846.0,1378.0,532.0,388.0,1232.37,439.93
594,891.0,1379.0,488.0,358.0,1555.85,386.77
228,342.0,1380.0,1038.0,842.0,1974.47,924.27
257,386.0,1380.0,994.0,688.0,3262.59,835.23
