vehicle_id,system_type,depart_time,arrival_time,duration,waiting_time,time_loss,route_length,average_speed,waiting_ratio,delay_ratio
0,fixed,0.0,68.0,68.0,0.0,7.87,863.15,12.693382352941176,0.0,0.11573529411764706
22,fixed,33.0,125.0,92.0,0.0,10.56,681.2,7.404347826086957,0.0,0.11478260869565218
28,fixed,42.0,128.0,86.0,0.0,8.55,719.84,8.370232558139536,0.0,0.0994186046511628
40,fixed,60.0,145.0,85.0,0.0,9.63,724.48,8.523294117647058,0.0,0.11329411764705884
67,fixed,101.0,200.0,99.0,0.0,13.58,680.84,6.877171717171717,0.0,0.13717171717171717
96,fixed,144.0,205.0,61.0,0.0,7.14,597.48,9.794754098360656,0.0,0.11704918032786885
55,fixed,83.0,244.0,161.0,25.0,46.01,1054.55,6.55,0.15527950310559005,0.2857763975155279
118,fixed,177.0,248.0,71.0,1.0,13.54,916.69,12.91112676056338,0.014084507042253521,0.19070422535211268
133,fixed,200.0,253.0,53.0,0.0,8.89,366.72,6.919245283018869,0.0,0.1677358490566038
94,fixed,141.0,256.0,115.0,0.0,14.13,931.88,8.103304347826088,0.0,0.12286956521739131
113,fixed,170.0,266.0,96.0,40.0,56.13,522.3,5.440625,0.4166666666666667,0.5846875
33,fixed,50.0,276.0,226.0,23.0,59.81,1990.72,8.808495575221238,0.10176991150442478,0.26464601769911505
108,fixed,162.0,276.0,114.0,13.0,31.47,1028.79,9.024473684210527,0.11403508771929824,0.2760526315789474
120,fixed,180.0,277.0,97.0,10.0,29.94,898.3,9.26082474226804,0.10309278350515463,0.308659793814433
57,fixed,86.0,289.0,203.0,33.0,60.94,1917.36,9.445123152709359,0.1625615763546798,0.30019704433497535
154,fixed,231.0,293.0,62.0,0.0,9.74,721.6,11.638709677419355,0.0,0.1570967741935484
23,fixed,35.0,295.0,260.0,160.0,181.71,674.91,2.5958076923076923,0.6153846153846154,0.6988846153846154
77,fixed,116.0,303.0,187.0,0.0,16.74,1854.3,9.916042780748663,0.0,0.0895187165775401
126,fixed,189.0,305.0,116.0,16.0,37.32,1064.98,9.180862068965517,0.13793103448275862,0.3217241379310345
