green_count,red_count,junction_pressure,average_network_pressure,phase_duration
2,3,0,0.0,38.0
2,0,0,0.0,77.0
2,0,0,0.0,5.0
2,0,0,0.0,5.0
2,0,0,0.0,5.0
2,0,0,0.0,5.0
3,4,0,0.0,38.0
8,8,0,0.0,40.0
8,8,0,0.0,39.0
4,3,0,0.0,38.0
1,2,0,0.0,29.0
3,0,0,0.0,5.0
3,0,0,0.0,5.0
3,0,0,0.0,5.0
2,0,0,0.0,77.0
2,0,0,0.0,77.0
2,0,0,0.0,77.0
2,0,0,0.0,5.0
3,4,0,0.0,38.0
8,3,0,0.0,40.0
3,2,0,0.0,38.0
3,2,0,0.0,39.0
3,0,0,0.0,77.0
2,0,0,0.0,77.0
1,0,0,0.0,78.0
2,0,0,0.0,5.0
2,0,0,0.0,5.0
4,3,0,0.0,38.0
10,9,0,0.0,39.0
9,7,0,0.0,25.0
10,8,0,0.0,39.0
9,5,0,0.0,38.0
10,5,0,0.0,32.0
14,10,0,0.0,38.0
10,4,0,0.0,39.0
3,0,0,0.0,77.0
2,0,0,0.0,77.0
8,3,0,0.0,39.0
10,8,0,0.0,39.0
10,8,0,0.0,39.0
8,3,0,0.0,39.0
8,3,0,0.0,39.0
10,4,0,0.0,39.0
10,0,0,0.0,71.0
12,7,0,0.0,25.0
8,3,0,0.0,39.0
10,8,0,0.0,39.0
9,7,0,0.0,25.0
12,10,0,0.0,39.0
9,4,0,0.0,39.0
14,12,0,0.0,29.0
8,3,0,0.0,39.0
11,8,0,0.0,39.0
11,8,0,0.0,39.0
10,4,0,0.0,39.0
4,12,0,0.0,22.0
8,3,0,0.0,39.0
8,3,0,0.0,39.0
8,3,0,0.0,39.0
4,7,0,0.0,24.0
10,8,0,0.0,40.0
9,4,0,0.0,39.0
10,8,0,0.0,39.0
8,3,0,0.0,39.0
9,3,0,0.0,38.0
3,31,0,0.0,30.0
12,28,0,0.0,10.0
9,20,0,0.0,16.0
6,10,0,0.0,18.0
13,4,0,0.0,34.0
16,5,0,0.0,35.0
11,7,0,0.0,38.0
10,17,0,0.0,24.0
19,12,0,0.0,35.0
10,13,0,0.0,19.0
3,2,0,0.1333333333333333,38.0
2,0,0,0.1333333333333333,74.0
2,0,0,0.1333333333333333,5.0
2,0,0,0.1333333333333333,5.0
2,0,0,0.1333333333333333,5.0
2,0,0,0.1333333333333333,5.0
4,3,0,0.1333333333333333,38.0
8,8,0,0.1333333333333333,40.0
8,8,0,0.1333333333333333,39.0
3,4,1,0.1333333333333333,42.0
1,2,0,0.1333333333333333,28.0
3,0,0,0.1333333333333333,5.0
3,0,0,0.1333333333333333,5.0
3,0,0,0.1333333333333333,5.0
2,0,0,0.1333333333333333,74.0
2,0,0,0.1333333333333333,74.0
2,0,0,0.1333333333333333,74.0
2,0,0,0.1333333333333333,5.0
4,3,0,0.1333333333333333,38.0
4,7,0,0.1333333333333333,40.0
2,3,0,0.1333333333333333,38.0
2,3,0,0.1333333333333333,39.0
3,0,0,0.1333333333333333,74.0
2,0,0,0.1333333333333333,74.0
1,0,0,0.1333333333333333,75.0
2,0,0,0.1333333333333333,5.0
2,0,0,0.1333333333333333,5.0
3,4,0,0.1333333333333333,38.0
9,10,0,0.1333333333333333,39.0
5,11,0,0.1333333333333333,25.0
8,10,0,0.1333333333333333,39.0
6,8,1,0.1333333333333333,42.0
6,9,0,0.1333333333333333,32.0
10,14,0,0.1333333333333333,38.0
5,9,0,0.1333333333333333,39.0
3,0,0,0.1333333333333333,74.0
2,0,0,0.1333333333333333,74.0
4,7,0,0.1333333333333333,39.0
8,10,0,0.1333333333333333,39.0
8,10,0,0.1333333333333333,39.0
4,7,0,0.1333333333333333,39.0
4,7,0,0.1333333333333333,39.0
5,9,0,0.1333333333333333,39.0
10,0,0,0.1333333333333333,68.0
7,12,3,0.1333333333333333,27.0
4,7,0,0.1333333333333333,39.0
8,10,0,0.1333333333333333,39.0
4,12,0,0.1333333333333333,25.0
10,12,0,0.1333333333333333,39.0
5,8,0,0.1333333333333333,39.0
12,14,3,0.1333333333333333,31.0
4,7,0,0.1333333333333333,39.0
8,11,0,0.1333333333333333,39.0
8,11,0,0.1333333333333333,39.0
5,9,0,0.1333333333333333,39.0
4,12,0,0.1333333333333333,22.0
4,7,0,0.1333333333333333,39.0
4,7,0,0.1333333333333333,39.0
4,7,0,0.1333333333333333,39.0
5,6,0,0.1333333333333333,24.0
8,10,0,0.1333333333333333,40.0
5,8,0,0.1333333333333333,39.0
8,10,0,0.1333333333333333,39.0
4,7,2,0.1333333333333333,43.0
4,8,0,0.1333333333333333,38.0
11,23,0,0.1333333333333333,30.0
12,28,0,0.1333333333333333,10.0
9,20,0,0.1333333333333333,16.0
6,10,0,0.1333333333333333,18.0
13,4,0,0.1333333333333333,33.0
8,13,0,0.1333333333333333,35.0
7,11,0,0.1333333333333333,38.0
17,10,0,0.1333333333333333,24.0
15,16,0,0.1333333333333333,35.0
10,13,0,0.1333333333333333,19.0
2,3,0,0.5333333333333333,37.0
2,0,0,0.5333333333333333,71.0
2,0,0,0.5333333333333333,5.0
2,0,0,0.5333333333333333,5.0
2,0,0,0.5333333333333333,5.0
2,0,0,0.5333333333333333,5.0
3,4,0,0.5333333333333333,37.0
8,8,0,0.5333333333333333,38.0
8,8,0,0.5333333333333333,38.0
3,4,1,0.5333333333333333,44.0
1,2,0,0.5333333333333333,27.0
3,0,0,0.5333333333333333,5.0
3,0,0,0.5333333333333333,5.0
3,0,0,0.5333333333333333,5.0
2,0,0,0.5333333333333333,71.0
2,0,0,0.5333333333333333,71.0
2,0,0,0.5333333333333333,71.0
2,0,0,0.5333333333333333,5.0
3,4,0,0.5333333333333333,37.0
8,3,0,0.5333333333333333,38.0
3,2,0,0.5333333333333333,37.0
3,2,0,0.5333333333333333,38.0
3,0,0,0.5333333333333333,71.0
2,0,0,0.5333333333333333,71.0
1,0,0,0.5333333333333333,72.0
2,0,0,0.5333333333333333,5.0
2,0,0,0.5333333333333333,5.0
4,3,1,0.5333333333333333,39.0
10,9,0,0.5333333333333333,38.0
4,12,2,0.5333333333333333,27.0
10,8,0,0.5333333333333333,38.0
6,8,1,0.5333333333333333,44.0
10,5,0,0.5333333333333333,31.0
14,10,0,0.5333333333333333,37.0
10,4,0,0.5333333333333333,38.0
3,0,0,0.5333333333333333,71.0
2,0,0,0.5333333333333333,71.0
8,3,0,0.5333333333333333,38.0
10,8,0,0.5333333333333333,38.0
10,8,0,0.5333333333333333,38.0
8,3,2,0.5333333333333333,40.0
8,3,0,0.5333333333333333,38.0
10,4,0,0.5333333333333333,38.0
10,0,0,0.5333333333333333,65.0
7,12,5,0.5333333333333333,28.0
8,3,0,0.5333333333333333,38.0
10,8,2,0.5333333333333333,40.0
5,11,0,0.5333333333333333,25.0
12,10,0,0.5333333333333333,38.0
9,4,0,0.5333333333333333,38.0
12,14,6,0.5333333333333333,32.0
8,3,0,0.5333333333333333,38.0
11,8,0,0.5333333333333333,38.0
11,8,0,0.5333333333333333,38.0
10,4,0,0.5333333333333333,38.0
10,6,0,0.5333333333333333,21.0
8,3,0,0.5333333333333333,38.0
8,3,0,0.5333333333333333,38.0
8,3,0,0.5333333333333333,38.0
3,8,0,0.5333333333333333,24.0
10,8,0,0.5333333333333333,38.0
9,4,0,0.5333333333333333,38.0
10,8,0,0.5333333333333333,38.0
4,7,2,0.5333333333333333,45.0
9,3,1,0.5333333333333333,39.0
9,25,1,0.5333333333333333,32.0
12,28,0,0.5333333333333333,10.0
9,20,4,0.5333333333333333,16.0
6,10,2,0.5333333333333333,18.0
4,13,0,0.5333333333333333,33.0
16,5,2,0.5333333333333333,36.0
11,7,0,0.5333333333333333,37.0
9,18,6,0.5333333333333333,26.0
19,12,0,0.5333333333333333,34.0
10,13,2,0.5333333333333333,19.0
3,2,0,0.3333333333333333,37.0
2,0,0,0.3333333333333333,68.0
2,0,0,0.3333333333333333,5.0
2,0,0,0.3333333333333333,5.0
2,0,0,0.3333333333333333,5.0
2,0,0,0.3333333333333333,5.0
4,3,0,0.3333333333333333,37.0
8,8,0,0.3333333333333333,38.0
8,8,0,0.3333333333333333,38.0
3,4,0,0.3333333333333333,42.0
1,2,0,0.3333333333333333,26.0
3,0,0,0.3333333333333333,5.0
3,0,0,0.3333333333333333,5.0
3,0,0,0.3333333333333333,5.0
2,0,0,0.3333333333333333,68.0
2,0,0,0.3333333333333333,68.0
2,0,0,0.3333333333333333,68.0
2,0,0,0.3333333333333333,5.0
4,3,0,0.3333333333333333,37.0
4,7,0,0.3333333333333333,38.0
2,3,0,0.3333333333333333,37.0
2,3,0,0.3333333333333333,38.0
3,0,0,0.3333333333333333,68.0
2,0,0,0.3333333333333333,68.0
1,0,0,0.3333333333333333,69.0
2,0,0,0.3333333333333333,5.0
2,0,0,0.3333333333333333,5.0
4,3,0,0.3333333333333333,38.0
9,10,0,0.3333333333333333,38.0
4,12,0,0.3333333333333333,26.0
8,10,0,0.3333333333333333,38.0
6,8,0,0.3333333333333333,42.0
6,9,0,0.3333333333333333,31.0
10,14,0,0.3333333333333333,37.0
